2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 60: ---End log at 2013-03-04 15:20:52.869645---

2013-03-04 15:20:52.869 INFO in 'file_copier' at 	line 61: 
     **************************************************
2013-03-04 15:21:51.276 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 25: 2013-03-04 15:21:51.277093
2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 35: There are one argument received.
2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 37: And it is txt object.
2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 63: ---End log at 2013-03-04 15:21:51.277413---

2013-03-04 15:21:51.277 INFO in 'file_copier' at 	line 64: 
     **************************************************
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 25: 2013-03-04 15:23:47.836298
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 45: There are one argument received.
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 47: And it is txt object.
2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 66: ---End log at 2013-03-04 15:23:47.836643---

2013-03-04 15:23:47.836 INFO in 'file_copier' at 	line 67: 
     **************************************************
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 25: 2013-03-04 15:23:54.941311
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 45: There are one argument received.
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 47: And it is txt object.
2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 66: ---End log at 2013-03-04 15:23:54.941614---

2013-03-04 15:23:54.941 INFO in 'file_copier' at 	line 67: 
     **************************************************
2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 23: 


     **************************************************
2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 25: 2013-03-04 15:24:12.300387
2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 27: ---Start log---
2013-03-04 15:24:12.300 INFO in 'file_copier' at 	line 45: There are one argument received.
